rank,title_cn,title_en,rating,rating_count,director,actors,summary,detail_url,release_year,duration,genres,imdb_rating,poster_path
12,忠犬八公的故事,/ Hachi: A Dog's Tale,9.4,1544127,莱塞·霍尔斯道姆 Lasse Hallström,理查·基尔 Richard Ger...,永远都不能忘记你所爱的人。,https://movie.douban.com/subject/3011091/,2009,,,,
13,海上钢琴师,/ La leggenda del pianista sull'oceano,9.3,1880613,朱塞佩·托纳多雷 Giuseppe Tornatore,蒂姆·罗斯 Tim Roth / ...,每个人都要走一条自己坚定了的路，就算是粉身碎骨。,https://movie.douban.com/subject/1292001/,1998,,,,
14,疯狂动物城,/ Zootopia,9.3,2321962,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,金妮弗·...,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://movie.douban.com/subject/25662329/,2016,,,,
15,三傻大闹宝莱坞,/ 3 Idiots,9.2,2079802,拉库马·希拉尼 Rajkumar Hirani,阿米尔·汗 Aamir Khan / 卡...,英俊版憨豆，高情商版谢耳朵。,https://movie.douban.com/subject/3793023/,2009,,,,
16,机器人总动员,/ WALL·E,9.3,1494648,安德鲁·斯坦顿 Andrew Stanton,本·贝尔特 Ben Burtt / 艾丽...,小瓦力，大人生。,https://movie.douban.com/subject/2131459/,2008,,,,
17,放牛班的春天,/ Les choristes,9.3,1474832,克里斯托夫·巴拉蒂 Christophe Barratier,让-巴蒂斯特·莫尼...,天籁一般的童声，是最接近上帝的存在。,https://movie.douban.com/subject/1291549/,2004,,,,
18,无间道,/ 無間道,9.3,1566471,刘伟强 / 麦兆辉,刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,香港电影史上永不过时的杰作。,https://movie.douban.com/subject/1307914/,2002,,,,
19,控方证人,/ Witness for the Prosecution,9.6,744420,比利·怀尔德 Billy Wilder,泰隆·鲍华 Tyrone Power / 玛琳·...,比利·怀德满分作品。,https://movie.douban.com/subject/1296141/,1957,,,,
20,寻梦环游记,/ Coco,9.1,1991318,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,...,死亡不是真的逝去，遗忘才是永恒的消亡。,https://movie.douban.com/subject/20495023/,2017,,,,
21,大话西游之大圣娶亲,/ 西遊記大結局之仙履奇緣,9.2,1710725,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,一生所爱。,https://movie.douban.com/subject/1292213/,1995,,,,
22,熔炉,/ 도가니,9.3,1036816,黄东赫 Dong-hyuk Hwang,孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://movie.douban.com/subject/5912992/,2011,,,,
23,触不可及,/ Intouchables,9.3,1297119,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,,满满温情的高雅喜剧。,https://movie.douban.com/subject/6786002/,2011,,,,
24,教父,/ The Godfather,9.3,1108412,弗朗西斯·福特·科波拉 Francis Ford Coppola,马龙·白兰度 M...,千万不要记恨你的对手，这样会让你失去理智。,https://movie.douban.com/subject/1291841/,1972,,,,
25,末代皇帝,/ The Last Emperor,9.3,1030035,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,尊龙 John Lone / 陈...,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/,1987,,,,
26,哈利·波特与魔法石,/ Harry Potter and the Sorcerer's Stone,9.2,1424599,Chris Columbus,Daniel Radcliffe / Emma Watson / Rupert Grint,童话世界的开端。,https://movie.douban.com/subject/1295038/,2001,,,,
27,当幸福来敲门,/ The Pursuit of Happyness,9.1,1689474,加布里尔·穆奇诺 Gabriele Muccino,威尔·史密斯 Will Smith ...,平民励志片。,https://movie.douban.com/subject/1849031/,2006,,,,
28,龙猫,/ となりのトトロ,9.2,1412566,宫崎骏 Hayao Miyazaki,日高法子 Noriko Hidaka / 坂本千夏 Ch...,人人心中都有个龙猫，童年就永远不会消失。,https://movie.douban.com/subject/1291560/,1988,,,,
29,活着,/ 人生  /  Lifetimes,9.3,971417,张艺谋 Yimou Zhang,葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,张艺谋最好的电影。,https://movie.douban.com/subject/1292365/,1994,,,,
30,怦然心动,/ Flipped,9.1,2053077,罗伯·莱纳 Rob Reiner,玛德琳·卡罗尔 Madeline Carroll / 卡...,真正的幸福是来自内心深处。,https://movie.douban.com/subject/3319755/,2010,,,,
31,蝙蝠侠：黑暗骑士,/ The Dark Knight,9.2,1193997,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,无尽的黑暗。,https://movie.douban.com/subject/1851857/,2008,,,,
